Feature,Spearman Correlation,Normalized Spearman,MI Score,Normalized MI,Aggregated Score
request_rate_variance,0.546163517233088,0.7855152200113575,0.6043541455539612,1.0,1.7855152200113575
node_disk_write_bytes_total,0.6952933607386896,1.0,0.402823216980148,0.6665350439698126,1.6665350439698126
message_rate_variance,0.67297704847956,0.9679037460742894,0.3812014221795714,0.630758347541665,1.5986620936159546
node_memory_MemAvailable_bytes,0.27988708241314764,0.40254531140034416,0.3869904492475602,0.640337213030678,1.0428825244310223
kafka_server_brokertopicmetrics_messagesin_total,0.2613551930435391,0.37589197280105136,0.26656046478375184,0.44106666057435256,0.816958633375404
node_disk_io_time_seconds_total,0.3807107953147111,0.5475541933986519,0.12675828965940017,0.2097417393293652,0.7572959327280171
node_disk_read_bytes_total,0.23845962401263804,0.3429626075521491,0.11854376808309319,0.19614950762757485,0.5391121151797239
memory_usage_variance,0.2508669145984137,0.36080729194924155,0.09602019236268866,0.15888067132339256,0.5196879632726341
kafka_network_requestmetrics_totaltimems,0.20938694908547847,0.3011490701752463,0.09839553163475356,0.16281104772527466,0.46396011790052094
kafka_server_brokertopicmetrics_totalproducerequests_total,0.13773618655234982,0.19809794588864896,0.14667446670819717,0.24269622006771027,0.44079416595635923
process_cpu_seconds_total,0.16087967395679537,0.23138387771440028,0.11770414569019194,0.19476021891485884,0.4261440966292591
kafka_server_brokertopicmetrics_bytesin_total,0.11518976148884863,0.16567073410059516,0.08571634586152999,0.14183131942110025,0.3075020535216954
message_size_bytes,0.10197054898861,0.1466583096382152,0.0887934233348191,0.14692283322294342,0.2935811428611586
java_lang_memory_heapmemoryusage_used,0.019625524739335383,0.028226250741823486,0.03952761858818765,0.06540472813660601,0.0936309788784295
java_lang_threading_threadcount,,,0.0,0.0,
