Feature,MI Score,Normalized MI Score
request_rate_variance,0.6043541455539612,1.0
node_disk_write_bytes_total,0.402823216980148,0.6665350439698126
node_memory_MemAvailable_bytes,0.3869904492475602,0.640337213030678
message_rate_variance,0.3812014221795714,0.630758347541665
kafka_server_brokertopicmetrics_messagesin_total,0.26656046478375184,0.44106666057435256
kafka_server_brokertopicmetrics_totalproducerequests_total,0.14667446670819717,0.24269622006771027
node_disk_io_time_seconds_total,0.12675828965940017,0.2097417393293652
node_disk_read_bytes_total,0.11854376808309319,0.19614950762757485
process_cpu_seconds_total,0.11770414569019194,0.19476021891485884
kafka_network_requestmetrics_totaltimems,0.09839553163475356,0.16281104772527466
memory_usage_variance,0.09602019236268866,0.15888067132339256
message_size_bytes,0.0887934233348191,0.14692283322294342
kafka_server_brokertopicmetrics_bytesin_total,0.08571634586152999,0.14183131942110025
java_lang_memory_heapmemoryusage_used,0.03952761858818765,0.06540472813660601
java_lang_threading_threadcount,0.0,0.0
